"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id"
4183.53650061744,0.876129306118877,0.124006141842804,7.06520897351599,1.60374461803466e-12,5.21538321020711e-12,"ACSMXP_00005.t01"
9981.61083817527,0.7052156925538,0.12592516803828,5.6002759697682,2.14010825449417e-08,5.19486563337502e-08,"ACSMXP_00010.t01"
5544.63383498871,0.845579514991101,0.124614397612216,6.78556837085903,1.15630374208522e-11,3.57260682410764e-11,"ACSMXP_00015.t01"
3478.90052420978,-0.782582054843744,0.119114717105504,-6.56998626081264,5.03199047973936e-11,1.48619726906657e-10,"ACSMXP_00020.t01"
3113.25874728668,-0.715291907939381,0.126927560544549,-5.63543413952501,1.74617870488887e-08,4.2712958005721e-08,"ACSMXP_00025.t01"
2883.62409859225,0.123722777735257,0.133776174375562,0.924849124388317,0.3550443935558,0.398899284807193,"ACSMXP_00030.t01"
2288.3088071032,0.139815790471386,0.137099983369963,1.01980895281435,0.307819076357803,0.350313264835991,"ACSMXP_00035.t01"
4876.15551197655,0.507696985399084,0.135835309885839,3.7375921314257,0.000185791018782582,0.000320202359883903,"ACSMXP_00040.t01"
4888.18216256842,0.88006825645121,0.128672205809105,6.83961428124469,7.94066913246246e-12,2.48069492487193e-11,"ACSMXP_00045.t01"
627.950028720915,0.633391893675719,0.145852015385602,4.34270237542596,1.40740739237284e-05,2.69950199419412e-05,"ACSMXP_00050.t01"
1168.00965818778,0.545092436075529,0.132557718554138,4.1121138928844,3.92052794745779e-05,7.21843613013151e-05,"ACSMXP_00055.t01"
584.072464474697,0.401283408044965,0.17364499863733,2.31094135272548,0.0208360945172007,0.0285582350072497,"ACSMXP_00060.t01"
138.449479422543,0.0978817045586854,0.216724665392481,0.451640815231735,0.651527761522942,0.689775151494936,"ACSMXP_00065.t01"
218.739747678179,0.7164284763009,0.221334441048579,3.23685944630577,0.00120852919793938,0.00191726699864232,"ACSMXP_00070.t01"
530.911300989864,-0.886724588560377,0.157146515770958,-5.64266146284008,1.67441383219871e-08,4.10124702561347e-08,"ACSMXP_00075.t01"
192.993748947636,-1.1684860845613,0.199366652002724,-5.8609906562775,4.60113870052813e-09,1.17959694870683e-08,"ACSMXP_00080.t01"
834.148620695336,-2.42396693996395,0.173976107182632,-13.9327576597595,4.00584807338078e-44,4.03568473489286e-43,"ACSMXP_00085.t01"
835.729271977562,-1.72905896550698,0.150093027813758,-11.519915286488,1.04713897347202e-30,7.42553695363073e-30,"ACSMXP_00090.t01"
51.7679625423837,0.498313327449118,0.32252782884619,1.54502428280928,0.122340389894417,0.149777775358502,"ACSMXP_00095.t01"
284.400998320735,0.400340135796686,0.168013583949916,2.38278433436683,0.0171822571796995,0.023813891165185,"ACSMXP_00100.t01"
751.043278104039,0.118533244331821,0.134116267368301,0.88380959787908,0.376799004376874,0.420538909220212,"ACSMXP_00105.t01"
261.29290428781,-1.56668256523471,0.169880082913553,-9.22228514588112,2.90834843001883e-20,1.41522830998384e-19,"ACSMXP_00110.t01"
329.647525426996,-0.986625633282769,0.170492046542625,-5.78693055359684,7.16841965647699e-09,1.80545300589338e-08,"ACSMXP_00115.t01"
537.686961578025,-0.700955021504511,0.15602163288082,-4.49267840979429,7.0332952935647e-06,1.39230255287718e-05,"ACSMXP_00120.t01"
753.503187607106,-0.947029300686181,0.13880697402195,-6.82263486657682,8.93856454560146e-12,2.77818193366268e-11,"ACSMXP_00125.t01"
555.140586829152,-0.707615940934613,0.154470656550496,-4.58090848279199,4.62960414599183e-06,9.3230296890886e-06,"ACSMXP_00130.t01"
281.365115138548,0.0348809945553931,0.179171675320067,0.194679178464357,0.845644113204411,0.864825623473119,"ACSMXP_00135.t01"
980.813817444022,0.105488521587063,0.130529238878442,0.808160091129476,0.418998428686897,0.463200321345406,"ACSMXP_00140.t01"
729.337019871317,0.297659007168595,0.148917871070884,1.99881320507807,0.0456285684870318,0.0597259971737062,"ACSMXP_00145.t01"
541.38405193554,3.07660471223036,0.156046641848905,19.7159302871083,1.57395243147983e-86,3.04937627573704e-85,"ACSMXP_00150.t01"
789.01105327091,5.10036641687362,0.185023712805355,27.5660148612368,2.84463896352863e-167,1.17385553613633e-165,"ACSMXP_00155.t01"
1923.38400182496,4.29657603618011,0.136364993041348,31.5079107940652,6.76859942337269e-218,4.70836668460135e-216,"ACSMXP_00160.t01"
2506.15185714474,4.53105453377646,0.145322876125135,31.1792241840497,2.03815521392919e-213,1.36575098004943e-211,"ACSMXP_00165.t01"
6493.66385707979,3.63653527229868,0.13855239134344,26.2466438654568,7.80684698002783e-152,2.87985910818805e-150,"ACSMXP_00170.t01"
9855.61083328464,4.311049847683,0.11925270077029,36.1505426697811,3.64815620309465e-286,5.43798630763333e-284,"ACSMXP_00175.t01"
4467.75632309495,5.00502171645239,0.169911982264102,29.4565553868524,1.03767540353882e-190,5.65610533391608e-189,"ACSMXP_00180.t01"
317.35539844241,2.60092908063799,0.213226025615097,12.1979907149469,3.18588570765972e-34,2.48077923334185e-33,"ACSMXP_00185.t01"
252.829838110609,2.88800642435264,0.255475882400713,11.3044190207466,1.247772643305e-29,8.58975625513641e-29,"ACSMXP_00190.t01"
302.702427320829,0.269551341470728,0.17790802081683,1.51511629567422,0.129742955588635,0.158177691139941,"ACSMXP_00195.t01"
486.421703147419,1.34268702037709,0.163367923984026,8.21879220616393,2.05562856253526e-16,8.36419755130368e-16,"ACSMXP_00200.t01"
504.945364832317,1.89817693310542,0.233487576037548,8.1296699606842,4.30460820081198e-16,1.72467681287607e-15,"ACSMXP_00205.t01"
